Input Query,Input Expected Name,Actual Product Name,Input Expected SKU,Actual SKU,Input Expected Position,Actual Position,Position Match,First Page Count,First Page Coverage %
"123 block","All Industrial 55510 | 1 Pair Ultra Precision TiN Coated 1-2-3 Blocks","All Industrial 1-2-3 Block Pair 23 Hole and 1/8 10 pc.Thin Parallel Set","30023443","30050501","1","5","Mismatch","8 of 24","33.3%"
"123 block","All Industrial 55500 | 1 Matched Pair Ultra Precision 1-2-3 Blocks 23 Holes 0.0002"" Machinist 123 Jig","Colton Industrial Tools 10078 | High Precision 1-2-3 Block Set 23 Holes and Cap Bolts","30000212","30051133","2","4","Mismatch","8 of 24","33.3%"
"123 block","All Industrial 55525 | Matched Pair Ultra Precision 1-2-3 Blocks No Holes 0.0001"" Machinist 123 Jig","All Industrial 55525 | Matched Pair Ultra Precision 1-2-3 Blocks No Holes 0.0001"" Machinist 123 Jig","30000214","30000214","3","3","Match","8 of 24","33.3%"
"123 block","All Industrial 55550 | 8pc Precision 123 Blocks and Screw Clamping Set","All Industrial 55500 | 1 Matched Pair Ultra Precision 1-2-3 Blocks 23 Holes 0.0002"" Machinist 123 Jig","30023446","30000212","4","6","Mismatch","8 of 24","33.3%"
"123 block","Colton Industrial Tools 10075 | Magnetic 123 Blocks Ultra Precision Matched Set","All Industrial 55510 | 1 Pair Ultra Precision TiN Coated 1-2-3 Blocks","30027501","30023443","5","7","Mismatch","8 of 24","33.3%"
"123 block","All Industrial 55502 | 1-2-3 Blocks with Case 23 Hole Ultra Precision 0.0001"" Tolerance","All Industrial 55550 | 8pc Precision 123 Blocks and Screw Clamping Set","30023618","30023446","6","8","Mismatch","8 of 24","33.3%"
"123 block","All Industrial 1-2-3 Block Pair 23 Hole and 1/8 10 pc.Thin Parallel Set","Colton Industrial Tools 10075 | Magnetic 123 Blocks Ultra Precision Matched Set","30050501","30027501","7","1","Mismatch","8 of 24","33.3%"
"123 block","Colton Industrial Tools 10078 | High Precision 1-2-3 Block Set 23 Holes and Cap Bolts","All Industrial 55502 | 1-2-3 Blocks with Case 23 Hole Ultra Precision 0.0001"" Tolerance","30051133","30023618","8","2","Mismatch","8 of 24","33.3%"
"123 block","3M 7100260505 | 35825 Hookit 5-1/4"" Length x 2-5/8"" Width Sanding Blocks","STM 225710 | 4"" OAL x 3-1/2"" Width V-Block","45033272","30122314","9","75","Mismatch","8 of 24","33.3%"
"123 block","3M 7100256625 | Hookit 5-1/4"" Length x 2-5/8"" Width Sanding Blocks","STM 231078 | 2-3/4"" OAL x 2-1/2"" Width V-Block","45059581","30122363","10","74","Mismatch","8 of 24","33.3%"
"123 block","3M 7100256624 | 35828 Hookit 16"" Length x 2-5/8"" Width Sanding Blocks","STM 231082 | 3-19/32"" OAL x 1-7/8"" Width V-Block","45033234","30122364","11","76","Mismatch","8 of 24","33.3%"
"123 block","3M 7100256499 | 35832 Hookit 10-3/4"" Length x 2-5/8"" Width Sanding Blocks","STM 231088 | 3-3/16"" OAL x 2-3/8"" Width V-Block","45033232","30122367","12","77","Mismatch","8 of 24","33.3%"
"123 block","3M 7100256623 | 35827 Hookit 10-3/4"" Length x 2-5/8"" Width Sanding Blocks","STM 231090 | 3-3/16"" OAL x 2-3/8"" Width V-Block","45059580","30122368","13","78","Mismatch","8 of 24","33.3%"
"123 block","3M 7000045660 | 45204 Stikit 8-15/16"" Length x 6-1/2"" Width Sanding Blocks","STM 231120 | 120 OAL x 35.00mm Width V-Block","45056298","30122381","14","79","Mismatch","8 of 24","33.3%"
"123 block","3M 7000028350 | 45203 Stikit 2-1/2"" Length x 2-1/2"" Width Sanding Blocks","STM 370556 | 2"" OAL x 1-7/8"" Width V-Block","45053354","30122729","15","80","Mismatch","8 of 24","33.3%"
"123 block","Tungaloy 2300773 | CTBU32-32 32.00mm Shank Height x 110.00mm OAL Steel Indexable Cut-Off Blade Tool Block","STM 231072 | 1-19/32"" OAL x 1-1/4"" Width V-Block","23121410","30122360","16","53","Mismatch","8 of 24","33.3%"
"123 block","Tungaloy 2300759 | CTBU20-32 20.00mm Shank Height x 100.00mm OAL Steel Indexable Cut-Off Blade Tool Block","STM 231076 | 2-3/4"" OAL x 1-3/4"" Width V-Block","23121408","30122362","17","54","Mismatch","8 of 24","33.3%"
"123 block","Tungaloy 2300767 | CTBU25-32 25.00mm Shank Height x 110.00mm OAL Steel Indexable Cut-Off Blade Tool Block","STM 231118 | 100 OAL x 30.00mm Width V-Block","23121409","30122380","18","55","Mismatch","8 of 24","33.3%"
"123 block","Tungaloy 2302494 | CTBU25-32-CHP 25.00mm Shank Height x 110.00mm OAL Steel Indexable Cut-Off Blade Tool Block","Seco Tools 03002502 | 150.10-3232-25JETI Indexable CutOff Blade Tool Block","23121412","23284352","19","56","Mismatch","8 of 24","33.3%"
"123 block","Tungaloy 6734873 | CTBU25-035-4/5-CHP 35.00mm Minimum Bore Diameter x 25.00mm Shank Height x 110.00mm OAL Steel Indexable Cut-Off Blade Tool Block","STM 333876 | 2-1/2"" Height x 1"" Width Steel Step Block","23127877","50034434","20","64","Mismatch","8 of 24","33.3%"
"123 block","Tungaloy 6734872 | CTBU25-030-4-CHP 30.00mm Minimum Bore Diameter x 25.00mm Shank Height x 110.00mm OAL Steel Indexable Cut-Off Blade Tool Block","STM 333878 | 4"" Height x 1-1/2"" Width Steel Step Block","23127876","50034436","21","65","Mismatch","8 of 24","33.3%"
"123 block","Tungaloy 2300770 | CTBU20-32-U 1-1/4"" Shank Height x 4.331"" OAL Steel Indexable Cut-Off Blade Tool Block","STM 333880 | 9"" Height x 1-1/2"" Width Steel Step Block","23019761","50034438","22","57","Mismatch","8 of 24","33.3%"
"123 block","3M 7000119959 | 05686 Hookit 5-1/4"" Length x 2-5/8"" Width Sanding Block","STM 333879 | 6"" Height x 1-1/2"" Width Steel Step Block","45056843","50034437","23","25","Mismatch","8 of 24","33.3%"
"123 block","3M 7100180137 | Scotch-Brite 1/16"" Thickness x 22"" Width x 24"" OAL Fine Grade Aluminum Oxide Cut and Polish Unitized Block","3M 7100272155 | 952 2-3/16"" Length x 6"" Width Hand Block","45035386","45033447","24","66","Mismatch","8 of 24","33.3%"
"123 block","3M 7010300638 | 03070 2-5/8"" Length x 1"" Width Fine Grade 320 Grit Sanding Block","3M 7000119959 | 05686 Hookit 5-1/4"" Length x 2-5/8"" Width Sanding Block","45041206","45056843","25","49","Mismatch","8 of 24","33.3%"
"123 block","3M 7000028312 | 05209 Hookit 15-9/16"" Length x 2-3/4"" Width Sanding Block","3M 7000028312 | 05209 Hookit 15-9/16"" Length x 2-3/4"" Width Sanding Block","45056195","45056195","26","26","Match","8 of 24","33.3%"
"123 block","3M 7000047027 | 804534 Standard Abrasives 1/2"" Thickness Silicon Carbide Unitized Block","3M 7000047027 | 804534 Standard Abrasives 1/2"" Thickness Silicon Carbide Unitized Block","45029488","45029488","27","27","Match","8 of 24","33.3%"
"123 block","3M 7100242588 | Pro Grade Precision 11.4 mm Length x 2-7/8"" Width Extra Coarse Grade 36 Grit Sanding Block","3M 7000047029 | 804734 Standard Abrasives 1/2"" Thickness Aluminum Oxide Unitized Block","45033033","45029490","28","63","Mismatch","8 of 24","33.3%"
"123 block","3M 7000047029 | 804734 Standard Abrasives 1/2"" Thickness Aluminum Oxide Unitized Block","3M 7010330694 | 804633 Standard Abrasives 1/2"" Thickness Aluminum Oxide Unitized Block","45029490","45042153","29","28","Mismatch","8 of 24","33.3%"
"123 block","3M 7010330694 | 804633 Standard Abrasives 1/2"" Thickness Aluminum Oxide Unitized Block","3M 7000119909 | 05216 Hookit 8-7/8"" Length x 4-1/2"" Width Sanding Block","45042153","45030457","30","29","Mismatch","8 of 24","33.3%"
"123 block","3M 7000119909 | 05216 Hookit 8-7/8"" Length x 4-1/2"" Width Sanding Block","3M 7000119963 | 05690 Hookit 5-3/8"" Length x 2-1/2"" Width Sanding Block","45030457","45056845","31","30","Mismatch","8 of 24","33.3%"
"123 block","3M 7010365121 | Scotch-Brite 1/2"" Thickness x 1"" Width x 5"" OAL Fine Grade Aluminum Oxide Cut and Polish Unitized Block","3M 7010366940 | 804733 Standard Abrasives 1/2"" Thickness Aluminum Oxide Unitized Block","45042839","45030505","32","67","Mismatch","8 of 24","33.3%"
"123 block","3M 7000119963 | 05690 Hookit 5-3/8"" Length x 2-1/2"" Width Sanding Block","3M 7000045510 | 05684 Hookit 24"" Length x 18"" Width Sanding Block","45056845","45056283","33","31","Mismatch","8 of 24","33.3%"
"123 block","3M 7010366940 | 804733 Standard Abrasives 1/2"" Thickness Aluminum Oxide Unitized Block","3M 7000028311 | 05208 Hookit 7-13/16"" Length x 2-3/4"" Width Sanding Block","45030505","45056194","34","32","Mismatch","8 of 24","33.3%"
"123 block","3M 7100282837 | Scotch-Brite 1"" Thickness x 25"" Width x 38"" OAL Extra Coarse Grade Silicon Carbide Cut and Polish Unitized Block","3M 7000047028 | 804634 Standard Abrasives 1/2"" Thickness Aluminum Oxide Unitized Block","45033560","45029489","35","73","Mismatch","8 of 24","33.3%"
"123 block","3M 7000120182 | 03069 2-5/8"" Length x 1"" Width Medium Grade 100 Grit Sanding Block","3M 7000119960 | 05687 Hookit 10-3/4"" Length x 2-5/8"" Width Sanding Block","45056852","45030471","36","50","Mismatch","8 of 24","33.3%"
"123 block","3M 7000045510 | 05684 Hookit 24"" Length x 18"" Width Sanding Block","3M 7000119964 | 05691 Hookit 10"" Length x 2-1/8"" Width Sanding Block","45056283","45030473","37","33","Mismatch","8 of 24","33.3%"
"123 block","3M 7100180135 | Scotch-Brite 1/16"" Thickness x 18"" Width x 22"" OAL Fine Grade Aluminum Oxide Cut and Polish Unitized Block","3M 7000119961 | 05688 Hookit 16"" Length x 2-5/8"" Width Sanding Block","45035385","45030472","38","68","Mismatch","8 of 24","33.3%"
"123 block","3M 7100180140 | Scotch-Brite 1/16"" Thickness x 23"" Width x 18"" OAL Fine Grade Silicon Carbide Unitized Block","3M 7000047031 | 804823 Standard Abrasives 1/2"" Thickness Aluminum Oxide Unitized Block","45055596","45029492","39","61","Mismatch","8 of 24","33.3%"
"123 block","3M 7000028311 | 05208 Hookit 7-13/16"" Length x 2-3/4"" Width Sanding Block","3M 7000047030 | 804813 Standard Abrasives 1/2"" Thickness Aluminum Oxide Unitized Block","45056194","45029491","40","34","Mismatch","8 of 24","33.3%"
"123 block","3M 7100172067 | 3/16"" Thickness x 4-1/2"" Width x 5-1/2"" OAL Fine Grade Sanding Block","Techniks EHT-150L | 2 Pole Pitch 1 x 3 Pole Pitch 2 Induction Block","45060501","50007921","41","51","Mismatch","8 of 24","33.3%"
"123 block","3M 7100139932 | Scotch-Brite 1/2"" Thickness x 5"" Width x 1"" OAL Fine Grade Aluminum Oxide Cut and Polish Unitized Block","3M 7100165225 | EMB-100 2""X4: 2.000"" Width x 60.0 mil Thickness Electrical Moisture Block","45057260","96000691","42","69","Mismatch","8 of 24","33.3%"
"123 block","3M 7010292427 | Scotch-Brite 1/4"" Thickness x 25"" Width x 38"" OAL Fine Grade Aluminum Oxide Cut and Polish Unitized Block","Techniks EHT-150 | 2 Pole Pitch 1 x 3 Pole Pitch 2 Induction Block","45044178","50007920","43","70","Mismatch","8 of 24","33.3%"
"123 block","3M 7100180136 | Scotch-Brite 1/16"" Thickness x 22"" Width x 24"" OAL Fine Grade Aluminum Oxide Cut and Polish Unitized Block","Techniks EHT-300 | 2 Pole Pitch 1 x 3 Pole Pitch 2 Induction Block","45055595","50007923","44","71","Mismatch","8 of 24","33.3%"
"123 block","3M 7000046177 | Scotch-Brite 1/4"" Thickness x 25"" Width x 38"" OAL Fine Grade Silicon Carbide Cut and Polish Unitized Block","Techniks EHT-300L | 2 Pole Pitch 1 x 3 Pole Pitch 2 Induction Block","45056394","50007924","45","72","Mismatch","8 of 24","33.3%"
"123 block","3M 7000047028 | 804634 Standard Abrasives 1/2"" Thickness Aluminum Oxide Unitized Block","Techniks EHT-300W | 1+1 Pole Pitch 1 x 1+1 Pole Pitch 2 Induction Block","45029489","50007925","46","35","Mismatch","8 of 24","33.3%"
"123 block","Techniks EHT-150L | 2 Pole Pitch 1 x 3 Pole Pitch 2 Induction Block","Techniks EHT-65V | 2 Pole Pitch 1 x 3 Pole Pitch 2 Induction Block","50007921","50007926","47","41","Mismatch","8 of 24","33.3%"
"123 block","Seco Tools 03002502 | 150.10-3232-25JETI Indexable CutOff Blade Tool Block","Techniks EHT-72 | 2 Pole Pitch 1 x 3 Pole Pitch 2 Induction Block","23284352","50007927","48","19","Mismatch","8 of 24","33.3%"
"123 block","STM 225710 | 4"" OAL x 3-1/2"" Width V-Block","3M 7010300638 | 03070 2-5/8"" Length x 1"" Width Fine Grade 320 Grit Sanding Block","30122314","45041206","49","9","Mismatch","8 of 24","33.3%"
"123 block","STM 231078 | 2-3/4"" OAL x 2-1/2"" Width V-Block","3M 7000120182 | 03069 2-5/8"" Length x 1"" Width Medium Grade 100 Grit Sanding Block","30122363","45056852","50","10","Mismatch","8 of 24","33.3%"
"123 block","STM 231082 | 3-19/32"" OAL x 1-7/8"" Width V-Block","3M 7100172067 | 3/16"" Thickness x 4-1/2"" Width x 5-1/2"" OAL Fine Grade Sanding Block","30122364","45060501","51","11","Mismatch","8 of 24","33.3%"
"123 block","STM 231088 | 3-3/16"" OAL x 2-3/8"" Width V-Block","Pramet 26-DU 12 | 3.54"" OAL x 0.75"" Shank width Indexable Cut-Off Blade Tool Block","30122367","23153759","52","12","Mismatch","8 of 24","33.3%"
"123 block","STM 231090 | 3-3/16"" OAL x 2-3/8"" Width V-Block","Tungaloy 2300773 | CTBU32-32 32.00mm Shank Height x 110.00mm OAL Steel Indexable Cut-Off Blade Tool Block","30122368","23121410","53","13","Mismatch","8 of 24","33.3%"
"123 block","STM 231120 | 120 OAL x 35.00mm Width V-Block","Tungaloy 2300759 | CTBU20-32 20.00mm Shank Height x 100.00mm OAL Steel Indexable Cut-Off Blade Tool Block","30122381","23121408","54","14","Mismatch","8 of 24","33.3%"
"123 block","STM 333876 | 2-1/2"" Height x 1"" Width Steel Step Block","Tungaloy 2300767 | CTBU25-32 25.00mm Shank Height x 110.00mm OAL Steel Indexable Cut-Off Blade Tool Block","50034434","23121409","55","20","Mismatch","8 of 24","33.3%"
"123 block","STM 333878 | 4"" Height x 1-1/2"" Width Steel Step Block","Tungaloy 2302494 | CTBU25-32-CHP 25.00mm Shank Height x 110.00mm OAL Steel Indexable Cut-Off Blade Tool Block","50034436","23121412","56","21","Mismatch","8 of 24","33.3%"
"123 block","STM 333880 | 9"" Height x 1-1/2"" Width Steel Step Block","Tungaloy 2300770 | CTBU20-32-U 1-1/4"" Shank Height x 4.331"" OAL Steel Indexable Cut-Off Blade Tool Block","50034438","23019761","57","22","Mismatch","8 of 24","33.3%"
"123 block","3M 7100165225 | EMB-100 2""X4: 2.000"" Width x 60.0 mil Thickness Electrical Moisture Block","Tungaloy 2302500 | CTBU16-32-U-CHP 1.000"" Shank Height x 4.331"" OAL Steel Indexable Cut-Off Blade Tool Block","96000691","23019760","58","42","Mismatch","8 of 24","33.3%"
"123 block","Tungaloy 2302500 | CTBU16-32-U-CHP 1.000"" Shank Height x 4.331"" OAL Steel Indexable Cut-Off Blade Tool Block","Tungaloy 2300765 | CTBU16-32-U 1.000"" Shank Height x 4.331"" OAL Steel Indexable Cut-Off Blade Tool Block","23019760","23019759","59","58","Mismatch","8 of 24","33.3%"
"123 block","Tungaloy 2300765 | CTBU16-32-U 1.000"" Shank Height x 4.331"" OAL Steel Indexable Cut-Off Blade Tool Block","Carr Lane CL-3-BLM | 1-1/8""-7 Thread x 1/2"" Diameter Zinc Plated Yellow Chromate Coated Bar-Lok Mounting Block","23019759","50024951","60","59","Mismatch","8 of 24","33.3%"
"123 block","Carr Lane CL-3-BLM | 1-1/8""-7 Thread x 1/2"" Diameter Zinc Plated Yellow Chromate Coated Bar-Lok Mounting Block","3M 7100180140 | Scotch-Brite 1/16"" Thickness x 23"" Width x 18"" OAL Fine Grade Silicon Carbide Unitized Block","50024951","45055596","61","60","Mismatch","8 of 24","33.3%"
"123 block","Techniks EHT-150 | 2 Pole Pitch 1 x 3 Pole Pitch 2 Induction Block","3M 7010366411 | Scotch-Brite 1/2"" Thickness x 12-1/2"" Width x 25"" OAL Medium Grade Aluminum Oxide Unitized Block","50007920","45034209","62","43","Mismatch","8 of 24","33.3%"
"123 block","Techniks EHT-300 | 2 Pole Pitch 1 x 3 Pole Pitch 2 Induction Block","3M 7100242588 | Pro Grade Precision 11.4 mm Length x 2-7/8"" Width Extra Coarse Grade 36 Grit Sanding Block","50007923","45033033","63","44","Mismatch","8 of 24","33.3%"
"123 block","Techniks EHT-300L | 2 Pole Pitch 1 x 3 Pole Pitch 2 Induction Block","Tungaloy 6734873 | CTBU25-035-4/5-CHP 35.00mm Minimum Bore Diameter x 25.00mm Shank Height x 110.00mm OAL Steel Indexable Cut-Off Blade Tool Block","50007924","23127877","64","45","Mismatch","8 of 24","33.3%"
"123 block","Techniks EHT-300W | 1+1 Pole Pitch 1 x 1+1 Pole Pitch 2 Induction Block","Tungaloy 6734872 | CTBU25-030-4-CHP 30.00mm Minimum Bore Diameter x 25.00mm Shank Height x 110.00mm OAL Steel Indexable Cut-Off Blade Tool Block","50007925","23127876","65","46","Mismatch","8 of 24","33.3%"
"123 block","Techniks EHT-65V | 2 Pole Pitch 1 x 3 Pole Pitch 2 Induction Block","3M 7100180137 | Scotch-Brite 1/16"" Thickness x 22"" Width x 24"" OAL Fine Grade Aluminum Oxide Cut and Polish Unitized Block","50007926","45035386","66","47","Mismatch","8 of 24","33.3%"
"123 block","Techniks EHT-72 | 2 Pole Pitch 1 x 3 Pole Pitch 2 Induction Block","3M 7010365121 | Scotch-Brite 1/2"" Thickness x 1"" Width x 5"" OAL Fine Grade Aluminum Oxide Cut and Polish Unitized Block","50007927","45042839","67","48","Mismatch","8 of 24","33.3%"
"123 block","Pramet 26-DU 12 | 3.54"" OAL x 0.75"" Shank width Indexable Cut-Off Blade Tool Block","3M 7100180135 | Scotch-Brite 1/16"" Thickness x 18"" Width x 22"" OAL Fine Grade Aluminum Oxide Cut and Polish Unitized Block","23153759","45035385","68","52","Mismatch","8 of 24","33.3%"
"123 block","STM 370556 | 2"" OAL x 1-7/8"" Width V-Block","3M 7100139932 | Scotch-Brite 1/2"" Thickness x 5"" Width x 1"" OAL Fine Grade Aluminum Oxide Cut and Polish Unitized Block","30122729","45057260","69","15","Mismatch","8 of 24","33.3%"
"123 block","STM 231072 | 1-19/32"" OAL x 1-1/4"" Width V-Block","3M 7010292427 | Scotch-Brite 1/4"" Thickness x 25"" Width x 38"" OAL Fine Grade Aluminum Oxide Cut and Polish Unitized Block","30122360","45044178","70","16","Mismatch","8 of 24","33.3%"
"123 block","STM 231076 | 2-3/4"" OAL x 1-3/4"" Width V-Block","3M 7100180136 | Scotch-Brite 1/16"" Thickness x 22"" Width x 24"" OAL Fine Grade Aluminum Oxide Cut and Polish Unitized Block","30122362","45055595","71","17","Mismatch","8 of 24","33.3%"
"123 block","STM 231118 | 100 OAL x 30.00mm Width V-Block","3M 7000046177 | Scotch-Brite 1/4"" Thickness x 25"" Width x 38"" OAL Fine Grade Silicon Carbide Cut and Polish Unitized Block","30122380","45056394","72","18","Mismatch","8 of 24","33.3%"
"123 block","STM 333879 | 6"" Height x 1-1/2"" Width Steel Step Block","3M 7100282837 | Scotch-Brite 1"" Thickness x 25"" Width x 38"" OAL Extra Coarse Grade Silicon Carbide Cut and Polish Unitized Block","50034437","45033560","73","23","Mismatch","8 of 24","33.3%"
"123 block","3M 7100272155 | 952 2-3/16"" Length x 6"" Width Hand Block","3M 7100256625 | Hookit 5-1/4"" Length x 2-5/8"" Width Sanding Blocks","45033447","45059581","74","24","Mismatch","8 of 24","33.3%"
"123 block","3M 7010366411 | Scotch-Brite 1/2"" Thickness x 12-1/2"" Width x 25"" OAL Medium Grade Aluminum Oxide Unitized Block","3M 7100260505 | 35825 Hookit 5-1/4"" Length x 2-5/8"" Width Sanding Blocks","45034209","45033272","75","62","Mismatch","8 of 24","33.3%"
"123 block","3M 7000119960 | 05687 Hookit 10-3/4"" Length x 2-5/8"" Width Sanding Block","3M 7100256624 | 35828 Hookit 16"" Length x 2-5/8"" Width Sanding Blocks","45030471","45033234","76","36","Mismatch","8 of 24","33.3%"
"123 block","3M 7000119964 | 05691 Hookit 10"" Length x 2-1/8"" Width Sanding Block","3M 7100256499 | 35832 Hookit 10-3/4"" Length x 2-5/8"" Width Sanding Blocks","45030473","45033232","77","37","Mismatch","8 of 24","33.3%"
"123 block","3M 7000119961 | 05688 Hookit 16"" Length x 2-5/8"" Width Sanding Block","3M 7100256623 | 35827 Hookit 10-3/4"" Length x 2-5/8"" Width Sanding Blocks","45030472","45059580","78","38","Mismatch","8 of 24","33.3%"
"123 block","3M 7000047031 | 804823 Standard Abrasives 1/2"" Thickness Aluminum Oxide Unitized Block","3M 7000045660 | 45204 Stikit 8-15/16"" Length x 6-1/2"" Width Sanding Blocks","45029492","45056298","79","39","Mismatch","8 of 24","33.3%"
"123 block","3M 7000047030 | 804813 Standard Abrasives 1/2"" Thickness Aluminum Oxide Unitized Block","3M 7000028350 | 45203 Stikit 2-1/2"" Length x 2-1/2"" Width Sanding Blocks","45029491","45053354","80","40","Mismatch","8 of 24","33.3%"
"123 block","3M 7100170037 | Pro Grade Precision 1"" Thickness x 4-1/2"" Width x 2-1/2"" OAL Extra Fine Grade 180 Grit Sanding Block Sponge","STM 333548 | 1/2"" Size x 3/8-16"" Thread 50 Pieces Fixture Clamp Step Block & Clamp Set","45035276","50034320","81","98","Mismatch","8 of 24","33.3%"
"123 block","3M 7010410803 | Pro Grade Precision 1"" Thickness x 2-1/2"" Width x 4-1/2"" OAL Extra Fine Grade 220 Grit Block Sanding Sponge","STM 333551 | 9/16"" Size x 1/2-13"" Thread 50 Pieces Fixture Clamp Step Block & Clamp Set","45037273","50034323","82","99","Mismatch","8 of 24","33.3%"
"123 block","3M 7100145188 | Pro Grade Precision 1"" Thickness x 2-1/2"" Width x 4-1/2"" OAL Coarse Grade 60 Grit Block Sanding Sponge","STM 333552 | 5/8"" Size x 1/2-13"" Thread 50 Pieces Fixture Clamp Step Block & Clamp Set","45031394","50034324","83","85","Mismatch","8 of 24","33.3%"
"123 block","3M 7010412362 | Pro Grade Precision 1"" Thickness x 2-1/2"" Width x 4-1/2"" OAL Fine Grade 120 Grit Block Sanding Sponge","STM 333553 | 11/16"" Size x 1/2-13"" Thread 50 Pieces Fixture Clamp Step Block & Clamp Set","45037278","50034325","84","86","Mismatch","8 of 24","33.3%"
"123 block","3M 7100170054 | Pro Grade Precision 1"" Thickness x 3-3/4"" Width x 2-1/2"" OAL Extra Fine Grade 180 Grit Sanding Block Sponge","3M 7100145188 | Pro Grade Precision 1"" Thickness x 2-1/2"" Width x 4-1/2"" OAL Coarse Grade 60 Grit Block Sanding Sponge","45035277","45031394","85","100","Mismatch","8 of 24","33.3%"
