Input Query,Input Expected Name,Input Expected SKU,Input Expected Position,Actual Product Name,Actual SKU,Actual Position,Position Match,Position Status
"1/4 step drill Bit","TTC PRODUCTION 07-001-048 3/4" Size 1/2" Shank 1/4" Pilot Hole Diameter High Speed Steel Interchangeable Pilot Type Counterbore",07-001-048,1,"Big Daishowa 40.56036.0040 | 0.40mm Diameter x 1.00mm Shank x 50.00mm OAL AlCrN Coated Step Drill Bit",10266733,No Record Found For Expected SKU :- 07-001-048,Not Match,Position Mismatch
"1/4 step drill Bit","TTC 07-012-016 1/4" Pilot Dia., 3/16" Shank Dia., Pilot For Counterbore",07-012-016,2,"Big Daishowa 40.56036.0045 | 0.45mm Diameter x 1.00mm Shank x 50.00mm OAL AlCrN Coated Step Drill Bit",10266734,No Record Found For Expected SKU :- 07-012-016,Not Match,Position Mismatch
"1/4 step drill Bit","UNIBIT 5 10 Hole Sizes, 1/4" To 1-3/8" By 1/8ths Hole Diam. Step Drill",01-906-006,3,"Big Daishowa 40.56036.0050 | 0.50mm Diameter x 1.20mm Shank x 50.00mm OAL AlCrN Coated Step Drill Bit",10266738,No Record Found For Expected SKU :- 01-906-006,Not Match,Position Mismatch
"1/4 step drill Bit","EVEREDE 50685 1/4" X 6" Size, High Speed Steel Reverse Spotfacer Arbor",07-002-554,4,"Big Daishowa 40.56036.0055 | 0.55mm Diameter x 1.30mm Shank x 50.00mm OAL AlCrN Coated Step Drill Bit",10266740,No Record Found For Expected SKU :- 07-002-554,Not Match,Position Mismatch
"1/4 step drill Bit","TTC PRODUCTION C9S-MC .242", 19/64", 21/64", 13/32", 1/2", 19/32", 25/32" 1/32" Oversize Pilot, 7 PC. High Speed Steel Solid Integral Pilot Type Counterbore Sets",07-053-098,5,"Big Daishowa 40.56036.0060 | 0.60mm Diameter x 1.40mm Shank x 50.00mm OAL AlCrN Coated Step Drill Bit",10266741,No Record Found For Expected SKU :- 07-053-098,Not Match,Position Mismatch
"1/4 step drill Bit","TTC PRODUCTION 01-904-016 1/4" Screw Size, For Use With Cap Screws Step Drill Counterbore",01-904-016,6,"Big Daishowa 40.56036.0065 | 0.65mm Diameter x 1.50mm Shank x 50.00mm OAL AlCrN Coated Step Drill Bit",10266742,No Record Found For Expected SKU :- 01-904-016,Not Match,Position Mismatch
"1/4 step drill Bit","TTC PRODUCTION 07-002-080 1-1/4" Size 3 Morse Taper Shank 3/8" Pilot Hole Diameter High Speed Steel Interchangeable Pilot Type Counterbore",07-002-080,7,"Big Daishowa 40.56036.0070 | 0.70mm Diameter x 1.80mm Shank x 50.00mm OAL AlCrN Coated Step Drill Bit",10266743,No Record Found For Expected SKU :- 07-002-080,Not Match,Position Mismatch
"1/4 step drill Bit","TTC PRODUCTION C1-40S 1/4" To 1" By 16ths Size High Speed Steel Interchangable Pilot Type Counterbore Set",07-011-100,8,"Big Daishowa 40.56036.0075 | 0.75mm Diameter x 1.80mm Shank x 50.00mm OAL AlCrN Coated Step Drill Bit",10266744,No Record Found For Expected SKU :- 07-011-100,Not Match,Position Mismatch
"1/4 step drill Bit","UNIBIT 3 9 Hole Sizes, 1/4" To 3/4" By 1/16ths Hole Diam. Step Drill",01-906-003,9,"Big Daishowa 40.56036.0100 | 1.00mm Diameter x 2.20mm Shank x 50.00mm OAL AlCrN Coated Step Drill Bit",10266753,No Record Found For Expected SKU :- 01-906-003,Not Match,Position Mismatch
"1/4 step drill Bit","TTC 07-011-016 1/4" Pilot Dia., 5/32" Shank Dia., Pilot For Counterbore",07-011-016,10,"Big Daishowa 40.56036.0105 | 1.05mm Diameter x 2.20mm Shank x 50.00mm OAL AlCrN Coated Step Drill Bit",10266754,No Record Found For Expected SKU :- 07-011-016,Not Match,Position Mismatch
"1/4 step drill Bit","UNIBIT 3 9 Hole Sizes, 1/4" To 3/4" By 1/16ths Hole Diam. Step Drill",01-906-073,11,"Big Daishowa 40.56036.0110 | 1.10mm Diameter x 2.20mm Shank x 50.00mm OAL AlCrN Coated Step Drill Bit",10266755,No Record Found For Expected SKU :- 01-906-073,Not Match,Position Mismatch
"1/4 step drill Bit","TTC PRODUCTION 07-001-080 1-1/4" Size 1" Shank 3/8" Pilot Hole Diameter High Speed Steel Interchangeable Pilot Type Counterbore",07-001-080,12,"Big Daishowa 40.56036.0115 | 1.15mm Diameter x 2.20mm Shank x 50.00mm OAL AlCrN Coated Step Drill Bit",10266756,No Record Found For Expected SKU :- 07-001-080,Not Match,Position Mismatch
"1/4 step drill Bit","TTC 07-013-032 1/2" Pilot Dia., 1/4" Shank Dia., Pilot For Counterbore",07-013-032,13,"Big Daishowa 40.56036.0120 | 1.20mm Diameter x 2.20mm Shank x 50.00mm OAL AlCrN Coated Step Drill Bit",10266757,No Record Found For Expected SKU :- 07-013-032,Not Match,Position Mismatch
"1/4 step drill Bit","TTC PRODUCTION 07-053-016 1/4" Size, 13/32" Cutting Dia., 9/32" Pilot Diameter High Speed Steel Solid Integral Pilot Type Counterbore",07-053-016,14,"Big Daishowa 40.56036.0125 | 1.25mm Diameter x 2.50mm Shank x 50.00mm OAL AlCrN Coated Step Drill Bit",10266758,No Record Found For Expected SKU :- 07-053-016,Not Match,Position Mismatch
"1/4 step drill Bit","TTC PRODUCTION 07-054-048 3/4" Size 1/4" Shank 3/16" Pilot Hole Diameter High Speed Steel Interchangeable Pilot Type Counterbore",07-054-048,15,"Big Daishowa 40.56036.0130 | 1.30mm Diameter x 2.50mm Shank x 50.00mm OAL AlCrN Coated Step Drill Bit",10266759,No Record Found For Expected SKU :- 07-054-048,Not Match,Position Mismatch
"1/4 step drill Bit","TTC PRODUCTION 07-001-016 1/4" Size 15/64" Shank 3/32" Pilot Hole Diameter High Speed Steel Interchangeable Pilot Type Counterbore",07-001-016,16,"Big Daishowa 40.56036.0135 | 1.35mm Diameter x 2.50mm Shank x 50.00mm OAL AlCrN Coated Step Drill Bit",10266760,No Record Found For Expected SKU :- 07-001-016,Not Match,Position Mismatch
"1/4 step drill Bit","EVEREDE 31940 9/16" Size, 1/4" Pilot Size High Speed Steel Reverse Spotfacer",07-002-511,17,"Big Daishowa 40.56036.0140 | 1.40mm Diameter x 2.50mm Shank x 50.00mm OAL AlCrN Coated Step Drill Bit",10266761,No Record Found For Expected SKU :- 07-002-511,Not Match,Position Mismatch
"1/4 step drill Bit","EVEREDE 31953 3/4" Size, 1/4" Pilot Size High Speed Steel Reverse Spotfacer",07-002-516,18,"Big Daishowa 40.56036.0145 | 1.45mm Diameter x 2.70mm Shank x 50.00mm OAL AlCrN Coated Step Drill Bit",10266762,No Record Found For Expected SKU :- 07-002-516,Not Match,Position Mismatch
"1/4 step drill Bit","TTC 07-013-018 9/32" Pilot Dia., 1/4" Shank Dia., Pilot For Counterbore",07-013-018,19,"Big Daishowa 40.56036.0150 | 1.50mm Diameter x 2.70mm Shank x 50.00mm OAL AlCrN Coated Step Drill Bit",10266763,No Record Found For Expected SKU :- 07-013-018,Not Match,Position Mismatch
"1/4 step drill Bit","TTC PRODUCTION 07-054-056 7/8" Size 1/4" Shank 3/16" Pilot Hole Diameter High Speed Steel Interchangeable Pilot Type Counterbore",07-054-056,20,"Big Daishowa 40.56036.0155 | 1.55mm Diameter x 2.70mm Shank x 50.00mm OAL AlCrN Coated Step Drill Bit",10266764,No Record Found For Expected SKU :- 07-054-056,Not Match,Position Mismatch
"1/4 step drill Bit","",,21,"Big Daishowa 40.56036.0160 | 1.60mm Diameter x 2.70mm Shank x 50.00mm OAL AlCrN Coated Step Drill Bit",10266765,,,Unexpected Product
"1/4 step drill Bit","",,22,"Big Daishowa 40.56036.0165 | 1.65mm Diameter x 2.80mm Shank x 50.00mm OAL AlCrN Coated Step Drill Bit",10266766,,,Unexpected Product
"1/4 step drill Bit","",,23,"Big Daishowa 40.56036.0170 | 1.70mm Diameter x 2.80mm Shank x 50.00mm OAL AlCrN Coated Step Drill Bit",10266767,,,Unexpected Product
"1/4 step drill Bit","",,24,"Big Daishowa 40.56036.0175 | 1.75mm Diameter x 2.80mm Shank x 50.00mm OAL AlCrN Coated Step Drill Bit",10266768,,,Unexpected Product
